     PID USER     COMMAND
   8408 astolf   gvfsd-trash
  11047 root     kworker/0:2H-kblockd
  11211 root     kworker/0:2-mm_percpu_wq
  11573 root     gdm-session-wor
  11581 astolf   gnome-keyring-d
  11586 astolf   gdm-x-session
  11605 astolf   gnome-session-b
  11702 astolf   ssh-agent
  11742 astolf   gnome-session-c
  11750 astolf   gnome-session-b
  11796 astolf   ibus-dconf
  11801 astolf   ibus-x11
  11804 astolf   ibus-portal
  11815 astolf   at-spi2-registr
  11820 astolf   gnome-shell-cal
  11828 astolf   evolution-sourc
  11840 astolf   evolution-calen
  11850 astolf   evolution-addre
  11873 astolf   gjs
  11882 astolf   gsd-a11y-settin
  11884 astolf   gsd-color
  11885 astolf   gsd-datetime
  11887 astolf   gsd-housekeepin
  11888 astolf   gsd-keyboard
  11889 astolf   gsd-media-keys
  11892 astolf   gsd-power
  11893 astolf   gsd-print-notif
  11896 astolf   gsd-rfkill
  11901 astolf   gsd-screensaver
  11904 astolf   gsd-sharing
  11910 astolf   gsd-smartcard
  11911 astolf   gsd-sound
  11913 astolf   gsd-usb-protect
  11914 astolf   gsd-wacom
  11915 astolf   gsd-wwan
  11920 astolf   gsd-xsettings
  11930 astolf   gsd-disk-utilit
  11947 astolf   python3
  11948 astolf   indicator-messa
  11966 astolf   evolution-alarm
  12015 astolf   ibus-engine-sim
  12017 astolf   gsd-printer
  12077 astolf   bamfdaemon
  13643 root     fwupd
  13671 astolf   seahorse
  13673 astolf   gnome-calendar
  14069 astolf   jetbrains-toolb
  14337 astolf   update-notifier
  14711 astolf   xdg-desktop-por
  14757 astolf   Socket Process
  14856 astolf   WebExtensions
  15022 root     kworker/2:2-events
  15232 astolf   sd_dummy
  15235 astolf   sd_generic
  15238 astolf   sd_espeak-ng
  15245 astolf   speech-dispatch
  15901 root     kworker/u9:1-rtw_tx_wq
  16094 root     kworker/3:2-events
  16461 astolf   RDD Process
  16779 astolf   pycharm.sh
  16856 astolf   fsnotifier
  17911 root     kworker/u8:1-ext4-rsv-conversion
  18268 root     kworker/0:3-inet_frag_wq
  18633 root     kworker/2:1-events
  19120 astolf   Isolated Web Co
  19145 root     kworker/3:0-events
  19173 root     kworker/u9:2-rtw_tx_wq
  19495 root     kworker/u8:2-i915
  19503 root     kworker/0:0-events
  19518 astolf   code
  19519 astolf   code
  19531 astolf   chrome_crashpad
  19839 root     kworker/0:0H
  20037 root     kworker/2:0-events
  20084 root     kworker/u8:3
  20156 astolf   Web Content
  20193 astolf   Web Content
  20215 root     kworker/3:1-events
  20221 astolf   Web Content
  20308 astolf   python
  20310 astolf   sh
  20311 astolf   ps
