    PID USER     COMMAND
  11892 astolf   gsd-power
  11893 astolf   gsd-print-notif
  11896 astolf   gsd-rfkill
  11901 astolf   gsd-screensaver
  11904 astolf   gsd-sharing
  11910 astolf   gsd-smartcard
  11911 astolf   gsd-sound
  11913 astolf   gsd-usb-protect
  11914 astolf   gsd-wacom
  11915 astolf   gsd-wwan
  11920 astolf   gsd-xsettings
  11930 astolf   gsd-disk-utilit
  11947 astolf   python3
  11948 astolf   indicator-messa
  11966 astolf   evolution-alarm
  12015 astolf   ibus-engine-sim
  12017 astolf   gsd-printer
  12077 astolf   bamfdaemon
  12146 astolf   snap-store
  13671 astolf   seahorse
  13673 astolf   gnome-calendar
  14069 astolf   jetbrains-toolb
  14337 astolf   update-notifier
  14711 astolf   xdg-desktop-por
  14757 astolf   Socket Process
  14814 astolf   Privileged Cont
  14856 astolf   WebExtensions
  15232 astolf   sd_dummy
  15235 astolf   sd_generic
  15238 astolf   sd_espeak-ng
  15245 astolf   speech-dispatch
  17321 astolf   Isolated Web Co
  18217 astolf   Isolated Web Co
  18274 astolf   Isolated Web Co
  20757 astolf   Isolated Web Co
  23577 astolf   Isolated Web Co
  24901 root     kworker/0:2H-kblockd
  27202 astolf   gvfsd-network
  27215 astolf   gvfsd-dnssd
  39184 root     kworker/0:2-events
  41672 astolf   snap
  44133 astolf   Isolated Web Co
  44195 astolf   Isolated Web Co
  44244 astolf   Isolated Web Co
  44273 astolf   Isolated Web Co
  44293 astolf   Isolated Web Co
  44330 astolf   Isolated Web Co
  44364 astolf   Isolated Web Co
  44408 astolf   Isolated Web Co
  44442 astolf   Isolated Web Co
  45394 astolf   code
  45395 astolf   code
  45407 astolf   chrome_crashpad
  45435 astolf   code
  45911 astolf   code
  45982 astolf   code
  45983 astolf   code
  46008 astolf   TabNine
  46030 astolf   TabNine
  46070 astolf   code
  46212 astolf   code
  46221 astolf   code
  46321 root     kworker/0:0H-kblockd
  46369 astolf   python
  46503 astolf   zsh
  46858 astolf   pycharm.sh
  46946 astolf   fsnotifier
  47368 astolf   zsh
  48503 astolf   Web Content
  48608 astolf   Web Content
  49062 astolf   Web Content
  49226 root     kworker/2:2-events
  53173 root     kworker/3:0-cgroup_destroy
  53615 root     kworker/u9:2-rtw_tx_wq
  53836 root     kworker/0:0-events
  53848 root     kworker/u8:2-phy0
  54170 root     kworker/u8:0-ext4-rsv-conversion
  54284 root     kworker/1:3-events
  54374 root     kworker/2:1-cgroup_destroy
  54388 root     kworker/u9:3-i915_flip
  54956 root     kworker/3:1-events
  56182 root     kworker/u8:1-i915
  57838 astolf   zsh
  58733 root     kworker/1:0-events
  58904 root     kworker/u9:0-rtw_tx_wq
  58946 root     kworker/0:1-events
  59067 astolf   mysql
  59171 root     kworker/u8:3
  59680 root     kworker/0:1H-events_highpri
  60041 astolf   sh
  60042 astolf   ps
